name,url,category,dr_estimate,link_type,submission_method,cost,requires_login,captcha,review_time,requirements,automation_score,automation_notes,status
Aixploria,https://www.aixploria.com/en/featured-on-aixploria/#submit,ai_directory,57 (est),nofollow,paid_only,paid ($79 Fast Listing; $279 Verified; $399 Featured; Stripe),no (guest checkout),unknown (Cloudflare at edge),5 business days Fast / 2 Verified (stated),AI-related tool only; description 165 chars (Fast) or 1000 words + media (Verified); no affiliate/shortened URLs; refund if rejected,3,Payment checkpoint + FAQ states 'no longer offer free listings' and 'all outbound links are nofollow' — zero link equity. Recommend skip regardless.,live
Easy With AI,https://easywithai.com/submit-tool/,ai_directory,"59 (Ahrefs, verified 2026-07-28)",unknown (paywalled path),form,paid ($125 one-time),no,none (Playwright passes; curl 403),unknown,"tool name, category, description (optional auto-generate), URL, pricing model",3,"Simple 5-field form, no login/captcha — agent-fillable EXCEPT $125 payment.",live
WIP (wip.co),https://wip.co/join,maker_directory,70 (est),unknown,paid_only,paid ($29/month or $199/year via Stripe; no free tier),yes (account during paid join flow; Telegram-centric community),unknown,instant after payment,"Paid membership; exposure from ongoing community participation, not one-shot listing",3,Simple plan-picker into Stripe checkout — agent blocked only at payment. Value model is ongoing participation; one-off signup yields little. Backlink value of member pages unverified.,live
TopAI.tools,https://topai.tools/submit,ai_directory,70 (est),dofollow,paid_only,"paid ($47 Fast Track; $229 Featured, Stripe)",no,Cloudflare (managed JS challenge; real browser passes),48 hours Fast Track (stated); refund if rejected,Payment first; tool details after checkout,3,'Free listing' from meta-lists no longer exists — only $47/$229 tiers. Pure pay-to-play; deprioritize. Outbound links dofollow.,live
There's An AI For That,https://theresanaiforthat.com/launch/,ai_directory,70+ (est),dofollow,paid_only,paid ($49 one-time review fee; $347 'Maximum Exposure'),no (email verification after submission grants edit access),Cloudflare Turnstile,unknown (manual staff review; priority on $347 tier),Tool URL only at submission; edit access after email verification; AI tools/GPTs only,3,"Form + email verification agent-executable, but Stripe $49 minimum is hard checkpoint — /submit/ now 301s to paid /launch/ (earlier free-tier note outdated). Verified dofollow on listings.",live
KillerStartups,https://www.killerstartups.com/submit-startup/,startup_directory,71 (Ahrefs verified),unknown,form,unknown (no pricing/payment elements found),no,reCAPTCHA (keys in form plugin config),unknown,startup details + story; multi-step form,3,"Form did NOT render at verification (no <form> in DOM, JS errors) — needs re-check. reCAPTCHA config indicates hard visual captcha when it renders.",live
Open Launch (open-launch.com),https://open-launch.com/projects/submit,launch_platform,71 (self-claimed),dofollow,account_required,"freemium (Free $0 — booked into 2027, dofollow only top-3 daily + badge; Premium $12/launch guaranteed dofollow; SEO package $59)",yes (Google/GitHub OAuth or email/password),Cloudflare Turnstile (managed/non-interactive),Daily 8:00 UTC launches; free queue booked into 2027; premium next day,Project details after login; free-tier backlink conditional on rank + badge,3,"Signup agent-executable, but only realistic tier is $12 Premium (payment checkpoint). Free queue booked into 2027 with conditional backlink.",live
Toolify,https://www.toolify.ai/submit,ai_directory,73 (est),dofollow,form,paid ($99 one-time per submission),"yes (account; email/password, OAuth options unverified)",Cloudflare (managed challenge at edge; no in-form captcha),48 hours (stated),Tool name + website URL only; content auto-generated or self-provided in English,3,"Form trivial (2 fields + radio), CF challenge passed in real Playwright browser. Hard blocker: mandatory $99 payment — no free path on live page despite meta-list claims. Promises 6+ dofollow links.",live
Tracxn,https://tracxn.com/listyourstartup,startup_directory,75 (est),unknown (profiles are platform data pages),manual_review_queue,free,no,none detected,unknown ('analyst will get in touch'),"Company name, website, uploaded product docs (file upload), contact name, business email",3,Form + PDF upload agent-fillable BUT invisible reCAPTCHA escalated to VISUAL challenge on submit (2026-07-28 execution). Business-email field accepted gmail. Retry with warmed profile.,live
SourceForge (Business Software),https://sourceforge.net/software/vendors/new,saas_directory,93 (est),nofollow,form,freemium (basic free; placement/lead-gen paid),no (initial form public; account downstream),reCAPTCHA (widget on form),unknown (team review),"Company info, software title (52 chars), square hi-res logo, description (1000 chars), audience, category (has 'AB Testing'), pricing/support checkboxes",3,Form server-rendered and inspectable but reCAPTCHA v2 is a hard visual checkpoint. Outbound links rel=nofollow via ad-redirect — no link equity anyway; value is traffic/reviews.,live
LaunchIgniter,https://launchigniter.com/submit,launch_platform,unknown (self-claims DR 75 — likely inflated for new platform),dofollow (verified on premium listing; free tier only top-3 weekly get backlinks),account_required,"freemium (Free: badge + wait, backlink only weekly top 3; Basic $12 instant + guaranteed dofollow; Pro $15 adds more backlinks)",yes — Google/Apple/email (Firebase-style),unknown (JS-rendered; Cloudflare script present),"Free: queue; Paid: instant, launches Monday 00:00 UTC, 7-day homepage feature","Product name, tagline, logo, URL; free tier requires badge embed",3,"Signup+form agent-executable, but guaranteed dofollow requires $12 — hard checkpoint. Free path community-gated (top-3 upvotes).",live
JustLaunched,https://justlaunched.fyi/submit,launch_platform,~25 (est),nofollow (verified: listings link via saaspa.ge redirect with rel=nofollow),account_required,"freemium (Free plan requires displaying their badge; paid skip-queue, 'add the backlink whenever')",yes — Clerk auth (per discovery),none observed,unknown; all submissions reviewed before going live,"startup name, tagline (120), description (50-1000), URL, category, optional logo + 5 screenshots; free tier badge display",3,"Two-step 'Details → Plan & Pay' form agent-fillable, but free tier requires badge deploy AND verified outbound links are nofollow. Low value.",live
TheAISurf,https://theaisurf.com/pricing-plan/,ai_directory,~30 (est),nofollow,form,"freemium (paid $49 Basic/$99 Premium; free route = contact form, limited features)",yes — email/password or Google OAuth,reCAPTCHA (login/register forms),paid: 2-4 days; free contact route: 30 days editorial,"tool name, URL, category, description, logo/media, socials, tags; editorial approval",3,Submit URL now redirects to paid pricing; free route is reCAPTCHA-guarded contact form with 30-day queue; paid needs payment. Verified nofollow on listings — low value.,live
Twelve Tools,https://twelve.tools/submit-your-tool,launch_platform,~35 (est),dofollow,form,"freemium (Free $0 with mandatory reciprocal backlink; Pro $36 one-time, 3 dofollow, no backlink needed)",no,none,"Free: 72h; Pro: 24h (stated). Queue 388 tools, max 12/day","Square logo min 128px, name max 24 chars, headline max 92 chars, description, category (has 'A/B Testing'), email. Free badge auto-verified by crawler.",3,Pure no-login no-captcha POST with dofollow listings. But free tier needs reciprocal backlink deploy and Pro needs payment — one checkpoint either way.,live
StartupTracker.io,https://startuptracker.io/crowdsourcing/,startup_directory,~40 (est),unknown,form,free ('Get Started — it's Free'),unknown,unknown,unknown,"unknown — crowdsourcing page renders as empty JS shell (© 2020 footer, possibly unmaintained)",3,Page loads but renders no usable form content — likely unmaintained. Unverified; provisional pending browser check.,live
Techimply,https://www.techimply.com/get-listed,saas_directory,~45 (est),unknown (JS-rendered profiles),account_required,freemium (free profile; paid promotion),yes (email/password registration + contact phone field),reCAPTCHA (enforced on lead forms),unknown,account + product profile; phone number field (SMS verification unverified),3,Registration agent-doable except reCAPTCHA checkpoint (could be invisible v3 — would raise to 4). CF also blocks curl. India-based global directory.,live
OpenTools,https://opentools.ai/friends/launch-tool,ai_directory,~45 (est),unknown (promises dofollow per discovery),paid_only,paid (launch package incl. homepage feature; price not extractable from JS-rendered page),unknown,unknown,unknown,launch package purchase,3,"'Launch your tool' is a paid package (money refs on page, Next.js RSC blocks price extraction). Payment = hard checkpoint.",live
Startup Estonia Database,https://ecosystem.startupestonia.ee/,nordic_regional,~55 (est),unknown,account_required,free,yes — Dealroom account (email or LinkedIn),unknown,unknown; government-run verified database,Dealroom add/claim; Estonia relevance expected,3,"Account agent-doable, but government-verified — non-Estonian SaaS may be rejected. Skip unless Estonia angle.",live
AllTopStartups,https://alltopstartups.com/submit-startup/,maker_directory,~60 (est),unknown,form,"paid (free listings SUSPENDED — 'reviewing backlog of hundreds of submissions'; premium 48h review + homepage feature, price unstated)",no,none detected,48 hours premium (stated),business/tech products; selective acceptance; premium = priority queue + homepage + social boost,3,Free path suspended indefinitely. Premium form agent-fillable but payment checkpoint + price unstated on page.,live
SaaSworthy,https://www.saasworthy.com/offerings,stack_marketplace,~60 (est),unknown,form,freemium (basic listing free; rich media/reviews gated to paid),unknown (403 to curl; contact business@saasworthy.com per discovery),unknown (bot block),unknown (team verifies product info),product info for verification; business contact,3,"Bot-blocked to curl (403) — form unverified this run. Per discovery, free basic listing via offerings page; needs browser verification. Provisional.",live
Crozdesk,https://vendor.revleads.com/user/signup,startup_directory,~70 (est),unknown,manual_review_queue,free,yes — credentials emailed after approval,unknown (Cloudflare scripts; disabled-until-valid submit),unknown; ML pre-screen + human approval,"Name, email, PHONE NUMBER (required), company, HQ country, product, URL, category, 175-char description, monthly marketing budget",3,Hard checkpoint: required phone number (agent has none) + approval gate. Category pages expose no crawlable outbound links.,live
BetaList,https://betalist.com/submit,maker_directory,~76 (est),nofollow,paid_only,paid — FAQ: 'All submissions are paid. No free option.' Price at end of form; refund if not selected,yes — X OAuth or email magic link,reCAPTCHA,unknown; editorial review after payment,Pre-launch/recently launched startup; assets in post-login form,3,TWO hard checkpoints: reCAPTCHA on signup AND mandatory payment. Verified: outbound links rel=nofollow — even paid yields nofollow. Magic-link agent-executable but pointless.,live
FinancesOnline,https://financesonline.com/add-software/,saas_directory,~80 (est),unknown,form,free (per source; unverified this session),unknown,unknown,unknown,"unknown (publicly available product, no agencies)",3,"COULD NOT VERIFY: curl timeouts, /add-software/ 502 Bad gateway. Domain up but submission endpoint erroring. Retry later; provisional.",live
Clutch,https://clutch.co/get-listed,startup_directory,~90 (est),mixed (free Basic explicitly NO website link; Verified $499/yr adds link),account_required,freemium (Basic free — NO link; Verified $499/year),yes (email account),reCAPTCHA,unknown (human-verified reviews; client phone interviews),"company profile, service focus, client references (phoned); agency-oriented — marginal fit for SaaS product",3,Free tier yields NO backlink (explicit). Only $499/yr tier links out + reCAPTCHA + phone interviews. Deprioritize for backlinks.,live
Wellfound (AngelList),https://wellfound.com/recruit,startup_directory,~90 (est),unknown,account_required,freemium ('$0 forever' free tier),yes — email/Google,unknown (403 to curl),unknown,company profile via 'I'm looking to hire' onboarding,3,Bot-blocked (403). Company profile requires recruiter-style onboarding — creating a hiring profile purely for a backlink is inauthentic and may be moderated. Provisional 3.,live
Trustpilot Business,https://business.trustpilot.com/signup,startup_directory,~93 (est),unknown,account_required,freemium (free account; paid plans),yes — email/password or Google,reCAPTCHA (script on signup page),unknown (business profile verification),"company details, domain verification; value is review collection, link is profile website field",3,Free account but reCAPTCHA on signup is hard checkpoint. Profile value depends on review generation over time; link equity of profile website link unverified.,live
Finnish Startup Community (Startupyhteiso),https://byte.flomembers.com/suomen-startup-yhteiso/members/application?_lang=en,nordic_regional,35-45 (est),dofollow (verified: member directory links plain target=_blank),form,paid (annual membership fee by company size),no (public application form),none detected,unknown (board-governed approval),"Finnish Business ID (Y-tunnus), e-invoicing, founding year, industry, funding raised, applicant details",2,"Form agent-fillable but gates: Finnish Business ID required, annual fee, board approval. Only relevant if klinky is Finland-registered — likely skip.",live
StartupBase,https://startupbase.io/launch,maker_directory,67 (self-claimed Ahrefs),"dofollow (verified on product page: rel=""noopener noreferrer"")",account_required,"freemium (Free $0: permanent listing, badge required, ~4-5 week queue; Premium from $39 via Paddle: skip queue + guaranteed dofollow)",yes — social sign-in,none detected (Cloudflare script present),Free: ~4-5 weeks (stated); Premium: as early as tomorrow,"Product name, logo, pitch; free tier requires StartupBase badge embed",2,"EXECUTED 2026-07-29: new accounts OAuth-only (Google/LinkedIn/X — no GitHub, no email signup). Free tier = permanent listing + badge + 4-5wk queue. Needs one-time user Google consent. Score 4→2.",blocked_oauth
FutureTools,https://futuretools.io/submit-a-tool,ai_directory,73 (est),dofollow,form,free,no,Cloudflare Turnstile,"unknown ('Matt will review it', no timeframe)","Your name, email, tool name, URL, short description, category dropdown, pricing model; no logo upload; optional newsletter",2,"AI-tools-only directory; klinky not AI-powered; off-fit, skipped at execution 2026-07-28.",live
Pipedream Apps,https://pipedream.com/docs/components/contributing/,stack_marketplace,83 (Ahrefs verified),unknown (no public outbound vendor link on app pages),github_pr,free,yes (GitHub for PR; Pipedream account for app request),none,unknown,team approval to create app + TypeScript components via PR,2,Not a listing form: team approval + real code components + two human reviews. Engineering effort gated.,live
Hacker News (Show HN),https://news.ycombinator.com/submit,launch_platform,91,mixed (story links plain; comment links nofollow),form,free,yes (email/password),none,instant post; community/moderator curation gates survival,title starts 'Show HN:'; working product URL; account in good standing (new accounts auto-flagged),2,"Self-serve form agent-executable, but community voting/flagging gates all value; fresh accounts heavily rate-limited. Needs warmed account + genuine launch post. Do not blast.",live
Zapier App Directory,https://docs.zapier.com/platform/publish/public-integration,stack_marketplace,91 (est),unknown,manual_review_queue,free (no fees to publish),yes (developer account),unknown,~1 week initial review + mandatory 90-day public beta,"Working public integration (OAuth, triggers/actions, tested Zaps, trial users, docs)",2,"Not a directory submission — requires building a real Zapier integration + human review + 90-day beta. High strategic value, not a quick backlink.",live
jmedia65/awesome-ai-marketing,https://github.com/jmedia65/awesome-ai-marketing,awesome_list,96 (github.com; repo 13 stars),n/a (github),github_pr,free,yes (GitHub account),none,stalled (last push 2025-12-27; 17 open PRs; zero merged community PRs),PR with tool name/link + problem solved + when to use it,2,PR agent-executable but review appears dead — submission will likely never merge. Low value; kill candidate.,live
marketingtoolslist/awesome-marketing,https://github.com/marketingtoolslist/awesome-marketing/blob/main/CONTRIBUTING.md,awesome_list,96 (github.com; repo 415 stars),n/a (github),github_pr,free,yes (GitHub account),none,unknown (very active: push 2026-07-27; 96 open issues/PRs),PR in correct alphabetical position; commercial tools accepted,2,PR agent-executable; maintainer merge gates value. Permissive rules + active repo are positives.,live
agamm/awesome-developer-first,https://github.com/agamm/awesome-developer-first/blob/main/CONTRIBUTING.md,awesome_list,"97 (github.com, Ahrefs verified)",n/a (github),github_pr,free,yes (GitHub account),none,unknown (last merge 2026-07-27; most recent 10 closed PRs NOT merged — selective),PR template; one resource per PR; alphabetical; must be developer-marketed AND have milestone: 1K GH stars / 1K followers / PH award / SOC-2; paid OK,2,"Agent can PR, but milestone bar klinky likely fails (no 1K stars/PH award/SOC-2 yet). Most submission PRs closed unmerged.",live
kairichard/awesome-nocode-lowcode,https://github.com/kairichard/awesome-nocode-lowcode/blob/master/CONTRIBUTING.md,awesome_list,"97 (github.com, Ahrefs verified)",n/a (github),github_pr,free,yes (GitHub account),none,unknown (very active: merges Jul 2026 within days),"correct section, alphabetical; commercial fine",2,"Easy mechanics + active merging, but marginal topical fit (klinky not no-code). Human review gates.",live
The Next AI,https://www.thenextai.com/submit-ai-tool/,ai_directory,<20 (est),nofollow,form,freemium (Basic free forever; Featured $199 one-time),no,math,24-48 hours free; 9-12 hours Featured (stated),"Tool name, URL, category, pricing model, short description (max 120 chars), email; optional full description, logo URL, tags. Tool must be AI-powered and live.",2,AI-tools-only + nofollow listings; skipped at execution 2026-07-28.,live
APIs.guru OpenAPI Directory,https://github.com/APIs-guru/openapi-directory,stack_marketplace,"apis.guru ~57; repo 4,518 stars",n/a (github),github_pr,free,yes — GitHub account,none,unknown — CI validates spec automatically; human merge after,Official public OpenAPI spec under APIs/<org>/; CC0 contributions,2,"PR agent-writable + CI-gated, but klinky must publish a public OpenAPI spec first (prerequisite) and maintainer merge gates value.",live
rathnasorg/awesome-url-shortener,https://github.com/rathnasorg/awesome-url-shortener/blob/main/CONTRIBUTING.md,awesome_list,github.com ~96; repo 0 stars — value near zero,n/a (github),github_pr,free,yes — GitHub account,none,"unknown — 1 commit, 0 PRs ever merged, dormant",[NAME](LINK) - DESCRIPTION. format; one per PR,2,"Topically perfect but effectively dormant — PR may never be reviewed, negligible equity even if merged.",live
dend/awesome-product-management,https://github.com/dend/awesome-product-management/blob/master/CONTRIBUTING.md,awesome_list,"github.com ~96; repo 2,278 stars",n/a (github),github_pr,free,yes — GitHub account,none,unknown; active but 5+ open PRs Jun-Jul 2026 (slow),"Must serve PMs, NOT self-promotional ('not an advertising surface'); no paywalled content",2,CONTRIBUTING explicitly discourages self-promotion — klinky self-submission fits awkwardly. Agent can PR; maintainer gates.,live
brandonhimpfen/awesome-data-analytics,https://github.com/brandonhimpfen/awesome-data-analytics/blob/main/CONTRIBUTING.md,awesome_list,"n/a (GitHub domain; repo 7 stars, created Dec 2025)",n/a (github),github_pr,free,yes — GitHub account,none,unknown,Fork+branch+PR; objective description; fit section taxonomy; alphabetical; no self-promotion,2,"Explicitly curated ('resources added primarily for promotion may be declined'); all 4 recent closed PRs closed WITHOUT merge. Agent can PR, human gates value.",live
athivvat/awesome-devtools,https://github.com/athivvat/awesome-devtools/blob/main/CONTRIBUTING.md,awesome_list,"n/a (GitHub repo, 20 stars)",n/a (github),github_pr,free,yes — GitHub account,none,unknown (last merge Jan 2026; 19 open PRs),PR editing README; CONTRIBUTING is a stub; commercial OK,2,PR agent-executable; slow merge cadence (months). Not archived.,live
oxnr/awesome-analytics,https://github.com/oxnr/awesome-analytics,awesome_list,n/a (github.com DR 96),n/a (github),github_pr,free,yes (GitHub account),none,unknown (merges within days-weeks; last merge 2026-02-17; 41 open PRs backlog),README-format PR; no CONTRIBUTING.md; commercial SaaS entries present; 4.3k stars,2,"Agent can fork+PR unattended; maintainer review gates value. 90 merged PRs total, recent merges. Good topical fit (analytics/SEO sections).",live
eferrares/awesome-startup-resources,https://github.com/eferrares/awesome-startup-resources,awesome_list,n/a (github.com DR 96; repo 225 stars),n/a (github),github_pr,free,yes (GitHub account),none,"unknown — last merged community PR 2024-01-19, 30+ open","README Contributing: PR, short description, relevant category; commercial present",2,PR agent-executable; merge human-gated and historically very slow (2 merges in 4 years).,live
alternbits/awesome-ai-marketing,https://github.com/alternbits/awesome-ai-marketing,awesome_list,"n/a (github.com DR 96; repo low-authority, 136 stars)",n/a (github),github_pr,free,yes (GitHub account),none,unknown (0 merged PRs ever; owner commits to 2026-07-27),PR per README Contributing; almost entirely commercial tools,2,"PR agent-executable but 0 merged PRs ever — repeated vendor PRs closed unmerged. Submit once, don't retry-spam.",live
cjbarber/ToolsOfTheTrade,https://github.com/cjbarber/ToolsOfTheTrade/blob/master/contributing.md,awesome_list,n/a (github.com DR ~99),n/a (github),github_pr,free,yes (GitHub account),none,unknown (last merged PR 2026-05-16; many recent PRs closed unmerged),Must disclose affiliation + include other contributions/fixes; tool ideally hosted; MUST have Hacker News coverage; concise non-marketing description; table-row format with pricing tag; add to bottom of category,2,"Agent can fork+PR, but gated by maintainer curation: explicit HN-coverage requirement, affiliation-disclosure rule, most drive-by PRs closed unmerged. 17.1k stars.",live
dailydotdev/awesome-developer-marketing,https://github.com/dailydotdev/awesome-developer-marketing/blob/main/contributing.md,awesome_list,n/a (github.com ~99),n/a (github),github_pr,free,yes — GitHub account,none,unknown; maintainer-gated,"One PR per suggestion; [Name](URL) - Description.; dev-marketing relevant; canonical HTTPS, no shorteners; disclose affiliation",2,"Repo active (2026-02-22, merged PRs visible) — decent review odds. Human merge gates.",live
marketinguys/awesome-dev-marketing,https://github.com/marketinguys/awesome-dev-marketing,awesome_list,n/a (github.com ~99),n/a (github),github_pr,free,yes — GitHub account,none,"stalled (2 commits, last 2025-06-08; 7 unmerged PRs)",open issue or PR; commercial listed,2,Merge probability very low — absent maintainer. Kill candidate.,live
Suganthan-Mohanadasan/awesome-seo-tools,https://github.com/Suganthan-Mohanadasan/awesome-seo-tools,awesome_list,n/a (github.com),n/a (github),github_pr,free,yes — GitHub account,none,unknown (merges May 2026),"Fixed format + justification; requires 'proven track record, real users, decent reviews'; rejects self-promo/affiliate spam",2,"Active repo, commercial OK (Ahrefs/Semrush listed), but quality bar + anti-self-promo rules gate a new-product PR. Pitch factually.",live
brandonhimpfen/awesome-saas,https://github.com/brandonhimpfen/awesome-saas/blob/main/CONTRIBUTING.md,awesome_list,n/a (github.com),n/a (github),github_pr,free,yes — GitHub account,none,unknown (active Jun 2026; non-compliant PRs closed),"Formatting/scope/category rules; Analytics and Growth/Marketing categories exist (Mixpanel, HubSpot listed)",2,Strict CONTRIBUTING (non-compliant PRs closed without merge). Agent can PR; maintainer gates.,live
theshubh77/awesome-saas-directories,https://github.com/theshubh77/awesome-saas-directories/blob/master/CONTRIBUTING.md,awesome_list,n/a (github.com; repo 51 stars),n/a (github),github_pr,free,yes — GitHub account,none,PRs merged within ~1-2 weeks (latest 2026-07-18),"Add row at bottom of README table; directory must be active and accept submissions. ACCEPTS DIRECTORIES, NOT PRODUCTS",2,"klinky not directly addable — this is a sourcing list for the campaign, not a target. PR mechanics agent-executable.",live
NextPedia,https://www.nextpedia.io/submit-tool/,ai_directory,~20 (est),nofollow,form,free,no,none,within 7 days (stated),"Elementor form: tool name, email, description, category; logo",2,AI-tools-only + nofollow listings; skipped at execution 2026-07-28.,live
Insidr.ai,https://www.insidr.ai/submit-tools/,ai_directory,~30 (est),dofollow,form,free,no,none,unknown,"Tool URL, category, short description. WordPress/Elementor form with mislabeled fields. No logo upload.",2,"AI-tools-only form (""share what the AI tool can do"") — klinky not AI-powered; off-fit, skipped at execution 2026-07-28.",live
AI-Hunter.io,https://ai-hunter.io/submit-ai-tool/,ai_directory,~30 (est),dofollow,form,freemium (free ~10-day review; $19 fast <24h; $35 homepage),no,none (Forminator; possible honeypot),10 days free (stated); <24h paid,"name, email, tool name/URL, category+pricing selects, unique description; no logo upload",2,AI-tools-only + detail pages inject redirects to tinylaunch.com; skipped at execution 2026-07-28.,live
CompareCamp,https://comparecamp.com/,saas_directory,~73 (est),unknown,manual_review_queue,free (unverified — site blocks bots),unknown,unknown (Cloudflare 403),"unknown (editorial review, FinancesOnline family)",vendor submits for editorial review (unverified),2,All access blocked (403) — nothing verified. Editorial team gates any listing. Recorded from source note only.,live
n8n Integrations (Creator Portal),https://docs.n8n.io/connect/create-nodes/deploy-your-node/submit-community-nodes,stack_marketplace,~75 (est),unknown,manual_review_queue,free,yes — Creator Portal + npm + GitHub accounts,unknown,unknown; n8n vets each node,"Build real npm community node (n8n-nodes-*, no runtime deps, tests, GitHub Actions provenance from May 2026); then Creator Portal submit",2,Software project + human vetting. Mechanically agent-executable but needs real maintained code.,live
Slant,https://www.slant.co/,stack_marketplace,~75 (est),mixed,account_required,free,yes (email/password),unknown,unknown (crowdsourced trust system; new accounts limited),"add 'option' to questions with pros/cons; name, image, description",2,Community largely stale; trust system means fresh agent account carries little weight. Low priority.,live
Product Hunt,https://www.producthunt.com/launch,maker_directory,~91 (est),dofollow (product page outbound link historically plain anchor; unverified this run — 403),account_required,free (paid promo placements),yes — email/social account,unknown (403 to curl; Cloudflare),launch-day cycle; community ranking,"full launch assets: name, tagline, description, logo (240x240), gallery images, video optional, maker socials, first comment",2,"Account + launch form technically agent-executable, but community voting/commenting culture gates ALL value and a bot-executed launch reads as inauthentic — needs a crafted launch moment, not a form blast. Highest single-shot traffic potential in the DB though.",live
ToolPilot,https://www.toolpilot.ai/pages/submit-your-ai-tool,ai_directory,35 (est),unknown,form,freemium (free REQUIRES reciprocal badge; paid ~$6-50),no,unknown (embedded JotForm; possible reCAPTCHA at submit),unknown,"Name, company, email, backlink URL (mandatory free tier), tool name/URL, square 500x500 logo, tagline, tags, short description, 3x bullets (300 chars)",1,SKIPPED 2026-07-30: mandatory T&C affirms AI tool — false for klinky. Jotform on Shopify; free tier needed reciprocal backlink anyway. Score→1 (fit).,skipped_fit
Microns.io,https://microns.io/sell-your-startup,maker_directory,50 (est),unknown (no public outbound link — confidential marketplace),account_required,freemium (free seller account; success fee on exit),yes — seller account,none detected,unknown (team reviews before publishing),"Listing details for a startup FOR SALE: financials, P&L, assets",1,NO-GO: acquisition marketplace — 'submission' means listing your company for sale. Zero link value. Category mismatch.,live
Dang.ai,https://dang.ai/pricing,ai_directory,50 (est),dofollow,account_required,freemium (free tier requires displaying their badge; paid featured tiers gated behind login),yes — email magic link,unknown,unknown,unknown (flow behind login; /submit and /pricing redirect to /login),1,"SKIPPED 2026-07-29: AI-directory requiring mandatory ""This is an AI tool"" attestation — false for klinky. Account exists (verified) but not submitted. Free tier also requires badge-first verification (crawls backlink page before form unlocks). Score 4→1 (fit).",skipped_fit
Maria 01,https://maria.io/startups/,nordic_regional,60 (est),unknown,manual_review_queue,paid (campus membership fees; pricing not published),no (application form),unknown,unknown (human review against criteria),"Membership application; coworking community, not a directory",1,Application-gated paid community with human review — no self-serve listing. NO-GO for backlinks.,live
ArcticStartup,https://arcticstartup.com/,nordic_regional,60 (est),unknown,email,free,no,none,unknown (editorial discretion),editorial tip to editor@arcticstartup.com; Nordic/Baltic angle,1,"No form, no directory — editorial email pitch only. NO-GO for automated listing.",live
PeerSpot,https://company.peerspot.com/about-us/contact,saas_directory,74 (Ahrefs verified),unknown,manual_review_queue,free (vendor listing via contact),no (contact form; portal after acceptance),unknown,unknown,"enterprise criteria (50+ employees, 10+ enterprise customers per research)",1,NO-GO: editorial/vendor-verification gate for enterprise companies; klinky doesn't meet profile; no self-serve path.,live
Make (apps marketplace),https://developers.make.com/,stack_marketplace,85 (est),unknown,manual_review_queue,free,yes (Make account + developer access),unknown,unknown (app review),"Build full custom app (auth, modules, webhooks) + pass review",1,"Engineering project + application-gated review, not a directory submission. NO-GO for backlink building.",live
software-listing.com,https://software-listing.com,saas_directory,~20 (est),unknown,email,unknown,no,none,unknown (editorial),SEA/Thailand-focused tools; submission via email per discovery,1,Editorial email submission + SEA regional focus klinky doesn't match. NO-GO.,live
TrustMRR,https://trustmrr.com,maker_directory,~50 (est),unknown,account_required,free listing (revenue verification via Stripe/RevenueCat connect),yes,unknown,unknown,VERIFIED REVENUE via Stripe/RevenueCat connection — marketplace of for-sale startups,1,Acquisition marketplace: listing means connecting real revenue data and positioning the startup as for-sale. Category mismatch + revenue-data exposure — NO-GO for a backlink play.,live
TechBBQ Startup Program,https://techbbq.dk/startup-program/,nordic_regional,~55 (est),unknown,manual_review_queue,unknown (event program),unknown,unknown (HTTP 454 on fetch),event-cycle based,startup application to conference program,1,"Conference startup program, not a directory — application-gated and event-cycle bound. 454 error on fetch. NO-GO for backlinks.",live
TrustRadius,https://vendor.trustradius.com/,saas_directory,~78 (est),unknown,account_required,freemium (free basic profile; paid premium),yes — Auth0 (email/password + SSO),none,unknown — manual review of new companies,Claim profile or request new company; work email matching company domain typically required,1,"DISQUALIFIED 2026-07-29: official policy — no backlinks provided, product page not indexed until >=1 review. Also gated by LinkedIn company page (>=10 employees), >=100 customers, non-role-based work email. Account exists (verified, creds in .work/credentials.md) but fails the backlink mission. NO-GO.",disqualified
